daily_return,moving_average_50,moving_average_200,volatility,portfolio_performance,correlation_with_market,correlation_with_sector,news_sentiment_score,positive_news_count,negative_news_count
0.6698,67.13,41.17,74.84,-69.86,-0.3191,0.4725,0.48,87,2
-0.8524,89.73,42.83,29.59,12.61,0.5475,0.4467,0.42,4,16
0.7479,22.18,68.68,83.07,-14.71,0.3826,-0.4618,0.57,97,79
-0.8304,90.03,9.58,5.63,-64.04,0.2646,-0.1328,0.27,8,83
-0.8784,58.01,84.63,35.08,-75.87,-0.3988,0.5574,0.2,52,39
0.0617,30.36,62.1,17.86,92.47,-0.6171,-0.8548,0.01,64,72
-0.0642,87.31,93.27,70.03,30.78,-0.0407,0.9005,0.65,74,25
0.4597,11.58,62.75,57.03,-90.2,-0.0798,0.6975,0.25,11,30
-0.2614,1.1,0.25,26.91,54.32,-0.9449,0.2054,0.47,47,88
-0.698,14.76,76.02,54.36,80.95,-0.2519,0.1608,0.3,9,22
0.0906,39.7,47.96,18.5,7.35,-0.8124,-0.74,0.54,93,14
-0.3662,39.23,72.44,47.83,-19.95,-0.5676,-0.8353,0.07,57,52
-0.9027,74.66,4.05,2.45,59.27,0.7337,0.4398,0.07,43,79
-0.2498,23.16,59.84,76.29,-15.54,0.6088,0.5533,0.53,76,25
0.9211,77.23,13.33,64.37,-30.74,0.5812,0.493,0.02,16,90
-0.0177,53.68,57.69,40.93,-42.18,0.2912,0.7662,0.48,34,11
-0.7599,63.33,57,37.26,98.26,0.2062,0.4583,0.68,59,94
-0.0504,64.95,27.2,27.45,-78.74,0.8352,0.8677,0.68,32,50
0.0505,32.7,81.52,45.3,9.03,0.9122,-0.7627,0.43,74,74
-0.5477,43.52,0.3,30.5,-64.76,0.9125,-0.0934,0.84,30,28
0.0957,36.76,98.44,27.75,-33.7,0.9918,-0.0651,1,86,62
-0.9611,66.83,64.12,91.32,39.58,0.5347,-0.8463,0.02,72,29
-0.1699,84.42,90.89,70.52,54.09,0.8379,0.1939,0.47,43,18
0.2981,74.72,21.64,20.22,24.25,-0.6137,-0.6691,0.24,60,44
-0.9843,89.84,92.32,88.84,75.61,-0.352,-0.9642,0.22,88,3
0.4004,70.81,93.45,81.4,-24.97,0.0109,0.1282,0.33,77,71
0.5729,91.21,12.25,48.77,-5.43,-0.4049,-0.2507,0.94,40,73
